time (h),m_br,m_v,m_c,m_bl,c(1.5mm),c_v,c_c,c_b,tracer,source
0,100,0,0,,,,,,PEG-900,Cserr 1981
1,89,0,0.75,,,,,,PEG-900,Cserr 1981
5,78,0,1.8,,,,,,PEG-900,Cserr 1981
16,39,0,0.55,,,,,,PEG-900,Cserr 1981
28,24,0,0.4,,,,,,PEG-900,Cserr 1981
0,100,0,0,,,,,,PEG-4000,Cserr 1981
1,98,0,0.5,,,,,,PEG-4000,Cserr 1981
5,95,0,1.9,,,,,,PEG-4000,Cserr 1981
16,38,0,0.48,,,,,,PEG-4000,Cserr 1981
28,22,0,0.3,,,,,,PEG-4000,Cserr 1981
0,100,0,0,,,,,,Albumin,Cserr 1981
1,98,0,0.3,,,,,,Albumin,Cserr 1981
5,78,0,0.7,,,,,,Albumin,Cserr 1981
16,37,0,0.45,,,,,,Albumin,Cserr 1981
28,20,0,0.4,,,,,,Albumin,Cserr 1981
0,1,,,,,,,0,DB53 mean,Requena 2022
0.25,,,,,,,,0.098086183,DB53 mean,Requena 2022
0.5,,,,,,,,0.256040528,DB53 mean,Requena 2022
0.75,,,,,,,,0.383585247,DB53 mean,Requena 2022
1,,,,,,,,0.551621784,DB53 mean,Requena 2022
1.25,,,,,,,,0.735212052,DB53 mean,Requena 2022
1.5,,,,,,,,0.923947986,DB53 mean,Requena 2022
1.75,,,,,,,,1.210706103,DB53 mean,Requena 2022
2,0.773809524,,,,,,,1.5,DB53 mean,Requena 2022
0,1,,,,,,,0,DB53 median,Requena 2022
0.25,,,,,,,,0.074484012,DB53 median,Requena 2022
0.5,,,,,,,,0.21984117,DB53 median,Requena 2022
0.75,,,,,,,,0.346604555,DB53 median,Requena 2022
1,,,,,,,,0.436463531,DB53 median,Requena 2022
1.25,,,,,,,,0.659818096,DB53 median,Requena 2022
1.5,,,,,,,,0.953442105,DB53 median,Requena 2022
1.75,,,,,,,,1.198992365,DB53 median,Requena 2022
2,0.773809524,,,,,,,1.5,DB53 median,Requena 2022
0,,,,,0,,70,,Gadubutrol,Stanton
0.111666667,,,,,1,,,,Gadubutrol,Stanton
0.225,,,,,2,,,,Gadubutrol,Stanton
0.333333333,,,,,3,,35,,Gadubutrol,Stanton
0.5,,,,,3.5,,,,Gadubutrol,Stanton
0.666666667,,,,,4,,22,,Gadubutrol,Stanton
0,0,,,,,,,,,Lee first parse
0.166666667,0.005,,,,,,,,,Lee first parse
0.333333333,0.01,,,,,,,,,Lee first parse
0.5,0.03,,,,,,,,,Lee first parse
0.666666667,0.04,,,,,,,,,Lee first parse
0.833333333,0.045,,,,,,,,,Lee first parse
1,0.048,,,,,,,,,Lee first parse
1.333333333,0.047,,,,,,,,,Lee first parse
1.666666667,0.042,,,,,,,,,Lee first parse
2,0.038,,,,,,,,,Lee first parse
2.166666667,0.035,,,,,,,,,Lee first parse
0,26.61829136,,,,,,,,,PlaPEG
1,15.74085785,,,,,,,,,PlaPEG
4,8.696374516,,,,,,,,,PlaPEG
18,0.984485255,,,,,,,,,PlaPEG
28,0.556793132,,,,,,,,,PlaPEG
0,0,,,,,,,,,Lee
0.066666667,0,,,,,,,,,Lee
0.133333333,0.003,,,,,,,,,Lee
0.2,0.005,,,,,,,,,Lee
0.266666667,0.01125,,,,,,,,,Lee
0.333333333,0.01875,,,,,,,,,Lee
0.4,0.025,,,,,,,,,Lee
0.466666667,0.032,,,,,,,,,Lee
0.533333333,0.0365,,,,,,,,,Lee
0.6,0.041,,,,,,,,,Lee
0.666666667,0.0435,,,,,,,,,Lee
0.733333333,0.0455,,,,,,,,,Lee
0.8,0.0475,,,,,,,,,Lee
0.866666667,0.0487,,,,,,,,,Lee
0.933333333,0.0493,,,,,,,,,Lee
1,0.05,,,,,,,,,Lee
1.066666667,0.0495,,,,,,,,,Lee
1.133333333,0.0502,,,,,,,,,Lee
1.2,0.0495,,,,,,,,,Lee
1.266666667,0.0485,,,,,,,,,Lee
1.333333333,0.049,,,,,,,,,Lee
1.4,0.048,,,,,,,,,Lee
1.466666667,0.0475,,,,,,,,,Lee
1.533333333,0.0465,,,,,,,,,Lee
1.6,0.046,,,,,,,,,Lee
1.666666667,0.045,,,,,,,,,Lee
1.733333333,0.0445,,,,,,,,,Lee
1.8,0.0435,,,,,,,,,Lee
1.866666667,0.042,,,,,,,,,Lee
1.933333333,0.04,,,,,,,,,Lee
2,0.04,,,,,,,,,Lee
2.066666667,0.0395,,,,,,,,,Lee
2.133333333,0.0385,,,,,,,,,Lee
2.2,0.0365,,,,,,,,,Lee